article_id;user_id;overall subjectivity in %;urls;;;;;;;
2;2;70.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;3;6.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;5;80.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;6;85.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;7;60.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;9;55.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;10;85.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;11;75.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;12;80.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;13;88.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;14;75.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;15;87.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;16;90.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;17;60.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;18;100.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;19;85.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
2;22;35.0;http://rightwingnews.com/hillary-clinton-2/breaking-steps-force-fbi-director-comey-resign-process-hearing-decides-fate-sept-28/;;;;;;;
3;2;0.0;http://politi.co/2cKqILg;;;;;;;
3;3;3.0;http://politi.co/2cKqILg;;;;;;;
3;5;10.0;http://politi.co/2cKqILg;;;;;;;
3;6;30.0;http://politi.co/2cKqILg;;;;;;;
3;7;90.0;http://politi.co/2cKqILg;;;;;;;
3;11;0.0;http://politi.co/2cKqILg;;;;;;;
3;12;0.0;http://politi.co/2cKqILg;;;;;;;
3;14;5.0;http://politi.co/2cKqILg;;;;;;;
3;15;10.0;http://politi.co/2cKqILg;;;;;;;
3;16;10.0;http://politi.co/2cKqILg;;;;;;;
3;17;0.0;http://politi.co/2cKqILg;;;;;;;
3;19;10.0;http://politi.co/2cKqILg;;;;;;;
3;22;0.0;http://politi.co/2cKqILg;;;;;;;
3;25;30.0;http://politi.co/2cKqILg;;;;;;;
3;27;75.0;http://politi.co/2cKqILg;;;;;;;
3;28;10.0;http://politi.co/2cKqILg;;;;;;;
3;29;0.0;http://politi.co/2cKqILg;;;;;;;
3;30;10.0;http://politi.co/2cKqILg;;;;;;;
4;2;100.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;3;86.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;5;90.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;6;100.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;7;60.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;11;100.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;12;100.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;14;100.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;15;85.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;16;90.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;17;80.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;19;100.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;22;80.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;25;80.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;28;80.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;29;100.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
4;30;90.0;http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/;;;;;;;
